date,times,crime,location,disposition,location_geo
10/7/13,17:16:28,LARCENY/THEFT/SHOPLIFTING,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa
10/7/13,18:47:45,BURGLARY,810 W 2ND ST,REPORT INITIATED,810 W 2ND ST Waterloo Iowa
10/7/13,20:19:47,LARCENY IN PROGRESS,1120 FRANKLIN ST,REPORT INITIATED,1120 FRANKLIN ST Waterloo Iowa
10/7/13,20:55:32,WEAPONS VIOLATIONS,1501 E ORANGE RD,REPORT INITIATED,1501 E ORANGE RD Waterloo Iowa
10/7/13,21:35:07,WEAPONS VIOLATIONS,N BARCLAY ST and NEWELL ST,REPORT INITIATED,N BARCLAY ST and NEWELL ST Waterloo Iowa
10/8/13,0:33:55,ASSAULT IN PROGRESS/JUST,4000 UNIVERSITY AV,REPORT INITIATED,4000 UNIVERSITY AV Waterloo Iowa
10/8/13,9:15:02,LARCENY/THEFT/SHOPLIFTING,1404 GRANT AV,REFERRED WITHIN DEPT,1404 GRANT AV Waterloo Iowa
10/8/13,9:17:56,LARCENY/THEFT/SHOPLIFTING,404 IVANHOE RD,REPORT INITIATED,404 IVANHOE RD Waterloo Iowa
10/8/13,12:35:50,BURGLARY IN PROGRESS/JUST,5014 HAMMOND AV,REPORT INITIATED,5014 HAMMOND AV Waterloo Iowa
10/8/13,15:32:41,LARCENY/THEFT/SHOPLIFTING,905 FRANKLIN ST,REPORT INITIATED,905 FRANKLIN ST Waterloo Iowa
10/8/13,17:34:23,LARCENY IN PROGRESS,905 FRANKLIN ST,REPORT INITIATED,905 FRANKLIN ST Waterloo Iowa
10/8/13,18:33:31,LARCENY/THEFT/SHOPLIFTING,1315 ANSBOROUGH AV,REPORT INITIATED,1315 ANSBOROUGH AV Waterloo Iowa
10/8/13,18:44:03,LARCENY/THEFT/SHOPLIFTING,226-B PALMER DR,REPORT INITIATED,226-B PALMER DR Waterloo Iowa
10/9/13,1:31:45,BURGLARY,1102-3 MULBERRY ST,REPORT INITIATED,1102-3 MULBERRY ST Waterloo Iowa
