date,times,crime,location,disposition,location_geo,lat,long
3/29/13,12:50:57,ASSAULT,3604 KIMBALL AV,REPORT INITIATED,3604 KIMBALL AV Waterloo Iowa,42.460451,-92.356637
3/29/13,13:42:21,ASSAULT IN PROGRESS/JUST,1118-222 PATRICK CT,WARNED & ADVISED,1118-222 PATRICK CT Waterloo Iowa,42.472643,-92.379913
3/29/13,16:58:22,ASSAULT/AMBULANCE REQUESTED,417 IOWA ST,REPORT INITIATED,417 IOWA ST Waterloo Iowa,42.506311,-92.334599
3/29/13,18:43:50,WEAPONS VIOLATIONS,W MULLAN AV and SOUTH ST,WARNED & ADVISED,W MULLAN AV and SOUTH ST Waterloo Iowa,42.495498,-92.348838
3/29/13,22:28:34,MVA HIT & RUN,1909 HAWTHORNE AV,REPORT INITIATED,1909 HAWTHORNE AV Waterloo Iowa,42.481372,-92.325459
3/29/13,23:29:56,STABBING IN PROGRESS/JUST,3421 W 9TH ST,REPORT INITIATED,3421 W 9TH ST Waterloo Iowa,42.464123,-92.345393
3/30/13,3:30:10,ASSAULT IN PROGRESS/JUST,4733 EDGEBROOK DR,WARNED & ADVISED,4733 EDGEBROOK DR Waterloo Iowa,42.446215,-92.410223
3/30/13,11:58:47,BURGLARY IN PROGRESS/JUST,317 E 10TH ST,EXTRA ATTENTION,317 E 10TH ST Waterloo Iowa,42.495294,-92.328197
3/30/13,15:07:13,ASSAULT,1850 W AIRLINE HWY,REPORT INITIATED,1850 W AIRLINE HWY Waterloo Iowa,42.542761,-92.375054
3/30/13,16:15:42,ASSAULT,501 N ELK RUN RD,REPORT INITIATED,501 N ELK RUN RD Waterloo Iowa,42.505099,-92.258873
3/30/13,18:41:52,BURGLARY,186 W 10TH ST,REPORT INITIATED,186 W 10TH ST Waterloo Iowa,42.491241,-92.333003
3/30/13,22:37:45,ASSAULT,428 CHERRY ST,WARNED & ADVISED,428 CHERRY ST Waterloo Iowa,42.499349,-92.322963
3/30/13,23:22:15,ASSAULT IN PROGRESS/JUST,221 PARK VIEW BLVD,WARNED & ADVISED,221 PARK VIEW BLVD Waterloo Iowa,42.479737,-92.353895
3/30/13,23:35:35,ASSAULT IN PROGRESS/JUST,4192 LOGAN AV,ASSISTED,4192 LOGAN AV Waterloo Iowa,42.558403,-92.335937
3/31/13,2:04:42,BURGLARY IN PROGRESS/JUST,2806 FALLS AV,REPORT INITIATED,2806 FALLS AV Waterloo Iowa,42.500202,-92.382248
3/31/13,9:28:17,ASSAULT IN PROGRESS/JUST,302 COMMERCIAL ST,ASSISTED,302 COMMERCIAL ST Waterloo Iowa,42.497158,-92.342858
3/31/13,13:50:28,ASSAULT,232 CENTER ST,WARNED & ADVISED,232 CENTER ST Waterloo Iowa,42.511439,-92.340888
3/31/13,17:54:13,ASSAULT,311 LAMONT ST,REPORT INITIATED,311 LAMONT ST Waterloo Iowa,42.486397,-92.310144
3/31/13,17:57:15,ASSAULT,5612 ROCHELLE DR,REPORT INITIATED,5612 ROCHELLE DR Waterloo Iowa,42.434645,-92.293277
3/31/13,19:23:11,MVA HIT & RUN,1615 WOODMAYR DR,REPORT INITIATED,1615 WOODMAYR DR Waterloo Iowa,42.528365,-92.373032
