date,times,crime,location,disposition,location_geo,lat,long
2013-03-02,18:59:26,LARCENY/THEFT/SHOPLIFTING,401 HERITAGE RD,REPORT INITIATED,401 HERITAGE RD Cedar Falls Iowa,42.499701,-92.442147
2013-03-02,1:57:35,ASSAULT,3308-69 EMERALD RD,REPORT INITIATED,3308-69 EMERALD RD Cedar Falls Iowa,42.5026671,-92.408712
2013-03-02,18:30:33,LARCENY/THEFT/SHOPLIFTING,2209 COLLEGE ST,REPORT INITIATED,2209 COLLEGE ST Cedar Falls Iowa,42.517431,-92.456178
2013-03-03,19:31:04,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-03,5:34:05,BURGLARY IN PROGRESS/JUST,2216-12 LINCOLN ST,REPORT INITIATED,2216-12 LINCOLN ST Cedar Falls Iowa,42.542832,-92.417774
2013-03-03,4:08:14,BURGLARY IN PROGRESS/JUST,1813-22 W 8TH ST,WARNING & ADVISED,1813-22 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
2013-03-04,9:38:48,LARCENY/THEFT/SHOPLIFTING,1911 FRANKLIN ST,REFERRED WITHIN DEPT,1911 FRANKLIN ST Cedar Falls Iowa,42.5208439,-92.449918
2013-03-04,2:07:35,LARCENY/THEFT/SHOPLIFTING,311 MAIN ST,REPORT INITIATED,311 MAIN ST Cedar Falls Iowa,42.535514,-92.44591
2013-03-04,6:13:32,BURGLARY,204-.5 N COLLEGE ST,REPORT INITIATED,204-.5 N COLLEGE ST Cedar Falls Iowa,42.539022,-92.456211
2013-03-04,5:50:55,BURGLARY,117 N COLLEGE ST,REPORT INITIATED,117 N COLLEGE ST Cedar Falls Iowa,42.538467,-92.455487
2013-03-05,8:31:43,LARCENY/THEFT/SHOPLIFTING,700-316 W RIDGEWAY AV,REPORT INITIATED,700-316 W RIDGEWAY AV Cedar Falls Iowa,42.4695097,-92.4499044
2013-03-05,21:02:32,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-08,15:03:36,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,B1,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-08,16:30:00,Theft,Rod Library,Open,UNI,42.514471,-92.459536
2013-03-08,21:27:31,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-03-11,20:32:59,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-11,11:27:09,LARCENY/THEFT/SHOPLIFTING,506 W 1ST ST,REPORT INITIATED,506 W 1ST ST Cedar Falls Iowa,42.5376684,-92.4511821
2013-03-11,11:22:46,BURGLARY,4117 UNIVERSITY AV,REPORT INITIATED,4117 UNIVERSITY AV Cedar Falls Iowa,42.504835,-92.407375
2013-03-11,14:54:19,LARCENY/THEFT/SHOPLIFTING,1327 ERIK RD,REPORT INITIATED,1327 ERIK RD Cedar Falls Iowa,42.491158,-92.461661
2013-03-12,11:05:24,ASSAULT,1113 W 8TH ST,REPORT INITIATED,1113 W 8TH ST Cedar Falls Iowa,42.531691,-92.459231
2013-03-14,20:41:00,Assault,UNI Dome,Closed,UNI,42.515762,-92.467192
